transaction_id,user_id,timestamp,product_category,amount_usd,region
TXN001,USR123,2024-06-12T09:15:32Z,Electronics,149.99,North America
TXN002,USR456,2024-06-12T09:16:45Z,Clothing,89.50,Europe
TXN003,USR789,2024-06-12T09:17:12Z,Electronics,299.99,Asia
TXN004,USR123,2024-06-12T09:18:22Z,Books,24.99,North America
TXN005,USR999,2024-06-12T09:19:05Z,Electronics,199.99,North America
TXN006,USR234,2024-06-12T09:20:15Z,Home & Garden,65.75,Europe
TXN007,USR567,2024-06-12T09:21:32Z,Sports,129.99,Asia
TXN008,USR890,2024-06-12T09:22:45Z,Electronics,449.99,North America
TXN009,USR123,2024-06-12T09:23:10Z,Clothing,49.99,North America
TXN010,USR456,2024-06-12T09:24:22Z,Books,19.99,Europe
TXN011,USR112,2024-06-12T10:15:05Z,Electronics,189.99,Asia
TXN012,USR334,2024-06-12T10:16:30Z,Clothing,75.25,North America
TXN013,USR556,2024-06-12T10:17:45Z,Home & Garden,99.99,Europe
TXN014,USR778,2024-06-12T10:18:12Z,Sports,159.99,Asia
TXN015,USR890,2024-06-12T10:19:33Z,Electronics,279.99,North America
TXN016,USR111,2024-06-12T11:05:22Z,Books,34.99,Europe
TXN017,USR333,2024-06-12T11:06:45Z,Electronics,119.99,Asia
TXN018,USR555,2024-06-12T11:07:15Z,Clothing,59.99,North America
TXN019,USR777,2024-06-12T11:08:32Z,Home & Garden,89.99,Europe
TXN020,USR999,2024-06-12T11:09:50Z,Sports,199.99,Asia
TXN021,USR222,2024-06-12T12:15:10Z,Electronics,249.99,North America
TXN022,USR444,2024-06-12T12:16:25Z,Books,29.99,Asia
TXN023,USR666,2024-06-12T12:17:40Z,Clothing,69.99,Europe
TXN024,USR888,2024-06-12T12:18:55Z,Home & Garden,119.99,North America
TXN025,USR101,2024-06-12T12:20:12Z,Sports,179.99,Asia
